GAME_ID,GAME_DATE,SEASON,HOME_TEAM_ID,HOME_TEAM_NAME,HOME_PTS,HOME_WL,AWAY_TEAM_ID,AWAY_TEAM_NAME,AWAY_PTS,AWAY_WL,HOME_TEAM_WINS,home_last10_win_pct,away_last10_win_pct,last10_win_pct_diff,home_last10_opponent_avg_win_pct,away_last10_opponent_avg_win_pct,last10_opponent_avg_win_pct_diff,home_last10_adjusted,away_last10_adjusted,last10_adjusted_diff,home_last10_home_win_pct,away_last10_away_win_pct,home_away_form_diff
12200059,2022-10-12,2022-23,1610612746,LA Clippers,115,L,1610612743,Denver Nuggets,126,W,0,0.5,0.3333333333333333,0.16666666666666669,0.75,0.5,0.25,0.75,0.3333333333333333,0.4166666666666667,0.5,0.0,0.5
12200060,2022-10-13,2022-23,1610612765,Detroit Pistons,111,L,1610612763,Memphis Grizzlies,126,W,0,0.0,0.5,-0.5,0.6666666666666666,0.5416666666666666,0.125,0.16666666666666663,0.5416666666666666,-0.375,0.0,0.5,-0.5
12200061,2022-10-13,2022-23,1610612759,San Antonio Spurs,112,L,1610612760,Oklahoma City Thunder,118,W,0,0.25,0.6666666666666666,-0.41666666666666663,0.5,0.3333333333333333,0.16666666666666669,0.25,0.49999999999999994,-0.24999999999999994,0.0,1.0,-1.0
12200062,2022-10-14,2022-23,1610612754,Indiana Pacers,114,L,1610612745,Houston Rockets,122,W,0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.7222222222222222,-0.05555555555555558,0.8333333333333333,0.8888888888888888,-0.05555555555555558,1.0,0.0,1.0
12200063,2022-10-14,2022-23,1610612753,Orlando Magic,114,W,1610612739,Cleveland Cavaliers,108,L,1,0.75,0.3333333333333333,0.4166666666666667,0.6666666666666666,1.0,-0.33333333333333337,0.9166666666666666,0.8333333333333333,0.08333333333333337,1.0,0.0,1.0
12200064,2022-10-14,2022-23,1610612761,Toronto Raptors,137,W,1610612738,Boston Celtics,134,L,1,0.5,0.6666666666666666,-0.16666666666666663,0.75,0.5,0.25,0.75,0.6666666666666666,0.08333333333333337,0.5,1.0,-0.5
12200065,2022-10-14,2022-23,1610612752,New York Knicks,105,W,1610612764,Washington Wizards,89,L,1,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666663,0.8333333333333333,0.3333333333333333,0.49999999999999994,1.0,0.5,0.5
12200066,2022-10-14,2022-23,1610612750,Minnesota Timberwolves,102,L,1610612751,Brooklyn Nets,112,W,0,1.0,0.3333333333333333,0.6666666666666667,0.4375,0.16666666666666666,0.27083333333333337,0.9375,-5.551115123125783e-17,0.9375,0.5,1.0,-0.5
12200067,2022-10-14,2022-23,1610612740,New Orleans Pelicans,120,W,1610612737,Atlanta Hawks,111,L,1,0.75,0.6666666666666666,0.08333333333333337,0.3125,0.0,0.3125,0.5625,0.16666666666666663,0.39583333333333337,1.0,0.5,0.5
12200068,2022-10-14,2022-23,1610612762,Utah Jazz,101,L,1610612742,Dallas Mavericks,115,W,0,0.3333333333333333,0.5,-0.16666666666666669,0.16666666666666666,0.75,-0.5833333333333334,-5.551115123125783e-17,0.75,-0.75,0.0,1.0,-1.0
12200069,2022-10-14,2022-23,1610612744,Golden State Warriors,112,L,1610612743,Denver Nuggets,119,W,0,0.75,0.5,0.25,0.125,0.5,-0.375,0.375,0.5,-0.125,0.6666666666666666,0.5,0.16666666666666663
12200070,2022-10-14,2022-23,1610612758,Sacramento Kings,133,W,1610612747,Los Angeles Lakers,86,L,1,1.0,0.2,0.8,0.3333333333333333,0.8,-0.46666666666666673,0.8333333333333333,0.5,0.33333333333333326,1.0,1.0,0.0
22200001,2022-10-18,2022-23,1610612738,Boston Celtics,126,W,1610612755,Philadelphia 76ers,117,L,1,0.5,1.0,-0.5,0.5,0.25,0.25,0.5,0.75,-0.25,0.5,1.0,-0.5
22200002,2022-10-18,2022-23,1610612744,Golden State Warriors,123,W,1610612747,Los Angeles Lakers,109,L,1,0.6,0.16666666666666666,0.43333333333333335,0.2,0.8333333333333334,-0.6333333333333333,0.3,0.5,-0.2,0.5,0.5,0.0
